title,author,rating,genres,pages,ratings_count
The Count of Monte Cristo,"Alexandre Dumas, Robin Buss, Alexandre Dumas",4.31,"Classics, Fiction, Historical Fiction, Adventure, Literature, France, Historical, Audiobook, Novels, Classic Literature",1276,979199
Eragon,"Christopher Paolini, Christopher Paolini",3.96,"Fantasy, Young Adult, Fiction, Dragons, Adventure, Magic, High Fantasy, Childrens, Young Adult Fantasy, Audiobook",503,1885329
The Very Hungry Caterpillar,"Eric Carle, Eric Carle",4.34,"Picture Books, Childrens, Fiction, Animals, Classics, Food, Counting, Storytime, Kids, Mathematics",26,534249
Looking for Alaska,"John Green, John Green",3.96,"Young Adult, Fiction, Contemporary, Romance, Realistic Fiction, Coming Of Age, Teen, Mystery, Banned Books, Audiobook",221,1701199
Middlesex,"Jeffrey Eugenides, Jeffrey Eugenides",4.04,"Fiction, Historical Fiction, Book Club, Contemporary, LGBT, Classics, Literary Fiction, Queer, Novels, Literature",529,654042
Charlie and the Chocolate Factory,"Roald Dahl, Quentin Blake, Roald Dahl",4.17,"Fiction, Fantasy, Childrens, Young Adult, Middle Grade, Classics, Humor, Adventure, Novels, Audiobook",176,899668
"The Lion, the Witch and the Wardrobe","C.S. Lewis, Tormod Haugen, Per Svein Paulsen, C.S. Lewis",4.24,"Fantasy, Fiction, Young Adult, Childrens, Classics, Middle Grade, Adventure, Christian, Audiobook, Magic",206,3017170
The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye, Mark Twain",3.92,"Fiction, Classics, Adventure, Historical Fiction, Young Adult, Literature, Childrens, School, Novels, Audiobook",244,986980
The Shadow of the Wind,"Carlos Ruiz Zafón, Lucia Graves, Carlos Ruiz Zafón",4.3,"Fiction, Historical Fiction, Mystery, Fantasy, Book Club, Books About Books, Historical, Spain, Magical Realism, Spanish Literature",487,687596
The Curious Incident of the Dog in the Night-Time,"Mark Haddon, Mark Haddon",3.89,"Fiction, Mystery, Young Adult, Contemporary, Book Club, Classics, Autistic Spectrum Disorder, Novels, School, Psychology",226,1554997
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson","Mitch Albom, Mitch Albom",4.2,"Nonfiction, Memoir, Biography, Classics, Philosophy, Self Help, Inspirational, Book Club, Contemporary, Biography Memoir",210,1133214
The Unbearable Lightness of Being,"Milan Kundera, Michael Henry Heim, Richmond Hoxie, Milan Kundera",4.11,"Fiction, Philosophy, Literature, Novels, Romance, Czech Literature, Classics, Literary Fiction, Contemporary, Book Club",314,516713
Holes,"Louis Sachar, Louis Sachar",4.01,"Young Adult, Fiction, Middle Grade, Childrens, Classics, School, Realistic Fiction, Mystery, Adventure, Contemporary",272,1314878
The Name of the Rose,"Umberto Eco, William Weaver, Umberto Eco",4.14,"Fiction, Historical Fiction, Mystery, Classics, Historical, Literature, Italy, Crime, Italian Literature, Novels",552,383804
On the Road,"Jack Kerouac, Jack Kerouac",3.61,"Classics, Fiction, Travel, Literature, Novels, American, Adventure, Modern Classics, 20th Century, The United States Of America",307,434089
Where the Red Fern Grows,"Wilson Rawls, Wilson Rawls",4.12,"Classics, Fiction, Young Adult, Childrens, Historical Fiction, Middle Grade, Animals, School, Realistic Fiction, Read For School",272,429693
The Godfather,"Mario Puzo, Robert Thompson, Peter Bart, Mario Puzo",4.4,"Fiction, Classics, Crime, Thriller, Historical Fiction, Mystery, Novels, Drama, Audiobook, Literature",448,448219
Perfume: The Story of a Murderer,"Patrick Süskind, John E. Woods, Patrick Süskind",4.04,"Fiction, Classics, Historical Fiction, Horror, Thriller, Mystery, Crime, German Literature, Historical, Novels",263,521366
In Cold Blood,"Truman Capote, Truman Capote",4.09,"Nonfiction, Classics, True Crime, Crime, Mystery, History, Book Club, Thriller, Audiobook, Literature",343,703289
The Scarlet Letter,"Nathaniel Hawthorne, Nina Baym, Thomas E. Connolly, Nathaniel Hawthorne",3.44,"Fiction, Historical Fiction, School, Literature, High School, Historical, Read For School, Classic Literature, Novels, American",279,896807
